,x,y,z,
0,31.25,-11.6875,179.625,
20,31.125,-14.5625,179.375,-2.875
0,31.3125,-12.4375,179.5625,
20,31.125,-14.9375,179.25,-2.5
0,31.3125,-12.6875,179.4375,
10,31.1875,-15.1875,179.1875,-2.5
0,31.25,-12.9375,179.3125,
10,31.3125,-13.6875,179.375,-0.75
0,31.3125,-13.3125,179.375,
10,31.3125,-13.75,179.3125,-0.4375
0,31.3125,-13.3125,179.3125,
2,31.3125,-14.3125,179.3125,-1
0,31.3125,-13.375,179.375,
2,31.3125,-14.5625,179.25,-1.1875
0,31.375,-13.1875,179.375,
2,31.375,-14.375,179.3125,-1.1875
0,31.375,-13.375,179.3125,
2,31.375,-14.0625,179.25,-0.6875
