EulerX,EulerY,EulerZ,Force (in grams),camera: degrees
35.875,1.125,177,0,
35.875,1.125,177,0,
35.875,1.1875,177,0,
35.875,0.875,177,5,
35.875,1.0625,177,0,
35.8125,0.4375,177,10,
35.875,1,177,0,
35.75,-0.125,177,20,
35.8125,1,177,0,
35.6875,-0.75,177,25,
35.6875,0.9375,177,0,
35.5625,-1.25,177,30,
35.6875,0.5,177,0,
34.5625,-2.5,177,40,
34.5625,-0.0625,177,0,
34.5625,-2.6875,177,45,
35.1875,-0.1875,177,0,
34.625,-3.125,177.0625,50,
34.75,0.0625,177,0,
34.4375,-3.375,177,55,
34.5625,0.0625,177.0625,0,
34.375,-4.3125,177.0625,60,
