EulerX,EulerY,EulerZ,Force (grams)
35.5,1.4375,177.4375,0
35.5,1.4375,177.4375,0
35.5,1.4375,177.4375,0
35.625,1.125,177.4375,5
35.6875,1.5625,177.5,0
35.625,1.0625,177.5,10
35.625,1.4375,177.5,0
35.5625,0.4375,177.5,20
35.625,1.375,177.5,0
35.5625,0.0625,177.5,25
35.75,0.5625,177.25,0
35.625,-0.875,177.25,30
35.625,0.5,177.25,0
35.5,-1.4375,177.25,40
35.5625,0.5,177.1875,0
34.875,-1.8125,177.1875,45
35,0.4375,177.1875,0
34.5,-2.1875,177.1875,50
34.625,0.375,177.1875,0
34.4375,-2.5625,177.1875,55
34.5625,1.0625,177.1875,0
35.3125,-2.625,177.1875,70
35.5,0.9375,177.1875,0
35.6875,-3.25,177.1875,75
35,-0.0625,177.1875,0
34.4375,-5.125,177.1875,90
